Cve_LA,Viaje,Clase,Precio,Ruta,Cve_Cliente
SW,1/4/2017,Economy,86,DAL-ATL,637
SW,1/4/2017,First Class,237,DAL-ATL,402
SW,1/2/2017,Economy,62,DAL-LGA,191
SW,1/2/2017,Economy,81,DAL-MDW,191
AA,1/4/2017,Business,169,DAL-LGA,637
SW,1/4/2017,Business,93,DAL-ELP,566
UA,1/1/2017,Economy,78,DAL-HOU,682
DA,1/2/2017,Economy,84,DAL-AUS,38
UA,1/2/2017,Economy,78,DAL-PHX,38
UA,1/3/2017,Economy,116,DAL-PHX,693
UA,1/1/2017,Economy,90,DAL-PHX,682
SW,1/2/2017,Business,102,DAL-SEA,38
SW,1/3/2017,Economy,116,DAL-MDW,693
SW,1/2/2017,First Class,222,DAL-HOU,38
SW,1/1/2017,Economy,72,DAL-AMA,682
AA,1/2/2017,Economy,104,DAL-OKC,38
AA,1/1/2017,Business,115,DAL-LGA,682
AA,1/2/2017,Economy,141,DAL-TUL,38
DA,1/1/2017,Economy,149,DAL-PHX,682
KL,1/9/2017,Business,221,DAL-GRR,627
AV,8/29/2017,Economy,126,DAL-GRR,701
AM,5/21/2017,Economy,236,DAL-AMA,560
KL,7/24/2017,First Class,214,DAL-ATL,712
AA,7/24/2017,Economy,125,DAL-PHX,38
AV,2/22/2017,Business,189,DAL-MDW,712
KL,6/5/2017,First Class,234,DAL-GRR,637
AV,7/6/2017,First Class,189,DAL-TUL,562
SW,1/23/2017,Business,163,DAL-AMA,712
KL,11/17/2017,First Class,102,DAL-LGA,730
AV,1/4/2017,Economy,91,DAL-HOU,682
AV,8/7/2017,Economy,235,DAL-OKC,682
KL,6/3/2017,First Class,95,DAL-AMA,701
AV,11/6/2017,Business,206,DAL-AMA,570
KL,7/5/2017,First Class,167,DAL-MDW,596
SW,7/28/2017,Business,142,DAL-LGA,658
AM,7/9/2017,First Class,152,DAL-TUL,682
AV,8/22/2017,Economy,70,DAL-TUL,566
KL,1/8/2017,Economy,255,DAL-PHX,562
SW,10/24/2017,First Class,204,DAL-ATL,715
AM,5/5/2017,Business,193,DAL-GRR,709
AM,9/13/2017,Economy,56,DAL-AMA,566
SW,1/26/2017,First Class,185,DAL-PHX,693
AA,6/18/2017,Business,198,DAL-AUS,637
SW,6/12/2017,Business,101,DAL-ATL,682
SW,2/5/2017,Economy,186,DAL-AMA,682
AM,4/17/2017,Business,262,DAL-ELP,730
AA,8/19/2017,Business,153,DAL-SLC,716
AM,7/8/2017,Business,62,DAL-ELP,627
KL,9/20/2017,Economy,55,DAL-ATL,682
AM,11/17/2017,Business,259,DAL-SLC,402
SW,2/24/2017,Business,215,DAL-ELP,560
AV,8/14/2017,First Class,67,DAL-OKC,562
KL,6/10/2017,First Class,228,DAL-TUL,637
KL,4/27/2017,Economy,237,DAL-OKC,682
KL,6/28/2017,First Class,70,DAL-AMA,682
AV,5/13/2017,Economy,250,DAL-GRR,582
AA,4/3/2017,Economy,119,DAL-GRR,730
AV,7/23/2017,First Class,101,DAL-OKC,682
KL,10/27/2017,Business,63,DAL-AUS,693
SW,7/2/2017,Business,125,DAL-MDW,560
AA,5/9/2017,Business,150,DAL-PHX,682
AM,3/2/2017,Business,122,DAL-AMA,742
AV,10/11/2017,First Class,247,DAL-PHX,709
AM,7/4/2017,Business,122,DAL-AUS,717
AA,5/8/2017,Economy,254,DAL-MDW,627
KL,8/2/2017,Business,121,DAL-AMA,712
AM,10/19/2017,Economy,223,DAL-ATL,562
SW,5/27/2017,Economy,84,DAL-AUS,693
AA,7/26/2017,Economy,248,DAL-AUS,38
AM,2/27/2017,First Class,58,DAL-ATL,682
AA,8/26/2017,First Class,260,DAL-OKC,712
SW,8/3/2017,First Class,104,DAL-SLC,637
AV,4/28/2017,Economy,172,DAL-AUS,693
SW,8/29/2017,Business,229,DAL-SLC,402
AV,10/6/2017,Business,233,DAL-LGA,693
KL,1/29/2017,Economy,131,DAL-HOU,669
AV,11/25/2017,Economy,182,DAL-MDW,570
KL,9/21/2017,Business,266,DAL-AUS,714
KL,6/22/2017,Business,159,DAL-ELP,709
KL,3/14/2017,Economy,73,DAL-PHX,191
SW,9/27/2017,First Class,61,DAL-LGA,682
SW,1/29/2017,Business,61,DAL-HOU,582
AV,10/12/2017,First Class,112,DAL-OKC,582
SW,11/14/2017,Economy,167,DAL-AUS,715
KL,7/10/2017,Economy,250,DAL-PHX,637
KL,8/10/2017,Business,166,DAL-LGA,709
AM,5/3/2017,Business,121,DAL-OKC,693
KL,7/16/2017,First Class,223,DAL-AMA,671
AA,3/8/2017,Business,55,DAL-AUS,682
AV,3/17/2017,Economy,245,DAL-OKC,742
AA,9/18/2017,Economy,244,DAL-OKC,570
AM,3/25/2017,First Class,210,DAL-MDW,717
AM,8/10/2017,First Class,207,DAL-MDW,742
KL,6/8/2017,Business,167,DAL-ATL,637
AM,7/12/2017,Economy,208,DAL-PHX,682
AV,1/17/2017,First Class,137,DAL-SLC,637
KL,8/27/2017,First Class,224,DAL-LGA,730
SW,7/2/2017,Business,169,DAL-HOU,669
AM,3/10/2017,First Class,165,DAL-MDW,627
KL,11/26/2017,Economy,167,DAL-ELP,627
KL,8/20/2017,Economy,219,DAL-SLC,550
SW,11/10/2017,First Class,82,DAL-LGA,693
AV,6/15/2017,Economy,62,DAL-ATL,582
SW,1/27/2017,Business,162,DAL-ATL,698
AA,10/13/2017,Business,240,DAL-PHX,627
AM,10/10/2017,First Class,119,DAL-PHX,582
AV,1/7/2017,First Class,178,DAL-AMA,658
AV,1/10/2017,First Class,69,DAL-HOU,582
AV,1/18/2017,Economy,83,DAL-HOU,669
AA,2/3/2017,Business,95,DAL-ELP,669
SW,4/22/2017,Business,186,DAL-PHX,570
SW,2/3/2017,Economy,93,DAL-TUL,682
AV,2/14/2017,First Class,78,DAL-TUL,669
KL,10/6/2017,Economy,120,DAL-MDW,709
AM,9/19/2017,First Class,250,DAL-AUS,693
KL,6/16/2017,Business,55,DAL-MDW,38
AM,11/16/2017,First Class,81,DAL-ATL,715
AM,10/19/2017,Economy,217,DAL-AUS,682
SW,4/13/2017,Economy,132,DAL-MDW,570
AV,2/26/2017,First Class,160,DAL-OKC,560
AM,10/10/2017,Business,204,DAL-AMA,627
AM,7/6/2017,Business,201,DAL-ATL,669
SW,8/10/2017,First Class,54,DAL-OKC,38
AM,1/21/2017,Business,61,DAL-LGA,38
AM,11/26/2017,Economy,179,DAL-OKC,712
AA,4/17/2017,First Class,210,DAL-ATL,709
SW,10/25/2017,First Class,166,DAL-OKC,38
KL,6/17/2017,Business,123,DAL-TUL,191
AV,3/15/2017,First Class,114,DAL-HOU,682
AV,11/17/2017,First Class,75,DAL-MDW,582
AM,10/10/2017,Economy,268,DAL-PHX,582
SW,2/4/2017,Economy,93,DAL-ELP,682
SW,8/15/2017,First Class,237,DAL-SLC,550
AA,2/8/2017,Economy,205,DAL-ATL,682
SW,9/25/2017,Economy,109,DAL-PHX,570
AM,1/28/2017,First Class,52,DAL-ELP,191
AV,8/1/2017,Economy,153,DAL-TUL,693
SW,6/23/2017,First Class,256,DAL-SLC,717
KL,8/11/2017,First Class,204,DAL-AMA,712
AM,8/15/2017,Business,206,DAL-MDW,693
AM,8/26/2017,Business,61,DAL-SLC,582
KL,7/23/2017,Business,242,DAL-SLC,38
SW,3/1/2017,First Class,153,DAL-PHX,730
SW,11/24/2017,First Class,210,DAL-OKC,715
AM,4/6/2017,Business,113,DAL-ELP,671
SW,10/27/2017,Business,120,DAL-PHX,682
AV,8/8/2017,Economy,110,DAL-GRR,550
AV,9/7/2017,First Class,163,DAL-SLC,619
KL,11/6/2017,Business,88,DAL-LGA,637
KL,2/2/2017,Economy,152,DAL-SLC,742
AV,2/7/2017,Business,101,DAL-ELP,682
AV,9/1/2017,First Class,166,DAL-LGA,729
AM,4/10/2017,First Class,245,DAL-GRR,693
AV,11/15/2017,Economy,150,DAL-OKC,619
AA,11/7/2017,Business,65,DAL-SLC,582
AM,3/22/2017,Economy,216,DAL-PHX,717
KL,5/13/2017,First Class,257,DAL-TUL,701
AM,5/24/2017,Business,194,DAL-AMA,625
SW,10/16/2017,Economy,97,DAL-TUL,38
AV,9/16/2017,First Class,79,DAL-AUS,38
AA,8/12/2017,Business,227,DAL-SLC,712
SW,11/28/2017,Business,220,DAL-GRR,701
SW,5/3/2017,Business,268,DAL-PHX,191
AA,5/13/2017,First Class,149,DAL-ATL,560
AA,7/20/2017,First Class,242,DAL-LGA,627
KL,6/17/2017,Business,217,DAL-SLC,717
AV,6/16/2017,Business,126,DAL-TUL,742
KL,3/20/2017,Economy,191,DAL-AMA,682
SW,5/9/2017,Business,165,DAL-SLC,714
AA,5/17/2017,Economy,116,DAL-HOU,669
KL,6/19/2017,Economy,64,DAL-ELP,682
AM,10/14/2017,Business,132,DAL-SLC,682
AA,2/4/2017,Business,79,DAL-AUS,715
SW,6/2/2017,First Class,176,DAL-ELP,717
AV,6/5/2017,Business,177,DAL-TUL,570
AV,3/12/2017,Economy,226,DAL-GRR,38
AM,7/10/2017,Economy,186,DAL-OKC,671
AM,8/24/2017,Business,123,DAL-TUL,682
KL,9/5/2017,Business,222,DAL-AUS,582
AA,10/18/2017,Business,112,DAL-LGA,38
AM,5/10/2017,Business,158,DAL-GRR,671
AM,5/16/2017,First Class,164,DAL-LGA,38
AM,5/10/2017,First Class,123,DAL-MDW,191
KL,2/6/2017,Economy,178,DAL-GRR,637
AM,11/4/2017,Economy,129,DAL-TUL,712
AV,6/19/2017,Business,89,DAL-MDW,698
SW,1/14/2017,Business,180,DAL-MDW,627
AV,8/13/2017,Economy,147,DAL-ATL,570
AA,4/11/2017,First Class,255,DAL-AUS,701
AM,8/4/2017,First Class,72,DAL-MDW,682
SW,4/29/2017,Economy,162,DAL-SLC,627
AM,7/1/2017,Business,168,DAL-TUL,38
AM,10/13/2017,First Class,265,DAL-TUL,38
AA,6/27/2017,Economy,119,DAL-AMA,729
SW,8/19/2017,First Class,62,DAL-HOU,730
SW,8/16/2017,Economy,229,DAL-TUL,627
AM,6/5/2017,First Class,85,DAL-AMA,669
AM,6/2/2017,First Class,55,DAL-TUL,693
AV,2/9/2017,Business,140,DAL-MDW,637
AA,11/27/2017,Business,232,DAL-HOU,723
